animal_name,animal_link
Arabian Horse,https://animaljam.fandom.com/wiki/Arabian_Horse
Arctic Fox,https://animaljam.fandom.com/wiki/Arctic_Fox
Arctic Wolf,https://animaljam.fandom.com/wiki/Arctic_Wolf
Autumn Coyote,https://animaljam.fandom.com/wiki/Autumn_Coyote
Bunny,https://animaljam.fandom.com/wiki/Bunny
Camel,https://animaljam.fandom.com/wiki/Camel
Cheetah,https://animaljam.fandom.com/wiki/Cheetah
Category:Choose an Animal,https://animaljam.fandom.com/wiki/Category:Choose_an_Animal
Clydesdale Horse,https://animaljam.fandom.com/wiki/Clydesdale_Horse
Cougar,https://animaljam.fandom.com/wiki/Cougar
Coyote,https://animaljam.fandom.com/wiki/Coyote
Crocodile,https://animaljam.fandom.com/wiki/Crocodile
Deer,https://animaljam.fandom.com/wiki/Deer
Category:Diamond Shop,https://animaljam.fandom.com/wiki/Category:Diamond_Shop
Direwolf,https://animaljam.fandom.com/wiki/Direwolf
Dolphin,https://animaljam.fandom.com/wiki/Dolphin
Eagle,https://animaljam.fandom.com/wiki/Eagle
Elephant,https://animaljam.fandom.com/wiki/Elephant
Enchanted Eagle,https://animaljam.fandom.com/wiki/Enchanted_Eagle
Falcon,https://animaljam.fandom.com/wiki/Falcon
Fearsome Falcon,https://animaljam.fandom.com/wiki/Fearsome_Falcon
Fennec Fox,https://animaljam.fandom.com/wiki/Fennec_Fox
Flamingo,https://animaljam.fandom.com/wiki/Flamingo
Category:Flying Animals,https://animaljam.fandom.com/wiki/Category:Flying_Animals
Category:Formerly Choose an Animal,https://animaljam.fandom.com/wiki/Category:Formerly_Choose_an_Animal
Category:Formerly Diamond Shop,https://animaljam.fandom.com/wiki/Category:Formerly_Diamond_Shop
Fox,https://animaljam.fandom.com/wiki/Fox
Frolicking Fox,https://animaljam.fandom.com/wiki/Frolicking_Fox
Giraffe,https://animaljam.fandom.com/wiki/Giraffe
Goat,https://animaljam.fandom.com/wiki/Goat
Great Horned Owl,https://animaljam.fandom.com/wiki/Great_Horned_Owl
Horse,https://animaljam.fandom.com/wiki/Horse
Hyena,https://animaljam.fandom.com/wiki/Hyena
Jamaaliday Deer,https://animaljam.fandom.com/wiki/Jamaaliday_Deer
Kangaroo,https://animaljam.fandom.com/wiki/Kangaroo
Koala,https://animaljam.fandom.com/wiki/Koala
Category:Land Animals,https://animaljam.fandom.com/wiki/Category:Land_Animals
Legendary Eagle,https://animaljam.fandom.com/wiki/Legendary_Eagle
Lemur,https://animaljam.fandom.com/wiki/Lemur
Lion,https://animaljam.fandom.com/wiki/Lion
Llama,https://animaljam.fandom.com/wiki/Llama
Lynx,https://animaljam.fandom.com/wiki/Lynx
Category:Member Animals,https://animaljam.fandom.com/wiki/Category:Member_Animals
Monkey,https://animaljam.fandom.com/wiki/Monkey
Moose,https://animaljam.fandom.com/wiki/Moose
Category:Non-Member Animals,https://animaljam.fandom.com/wiki/Category:Non-Member_Animals
Category:Ocean Animals,https://animaljam.fandom.com/wiki/Category:Ocean_Animals
Octopus,https://animaljam.fandom.com/wiki/Octopus
Ostrich,https://animaljam.fandom.com/wiki/Ostrich
Otter,https://animaljam.fandom.com/wiki/Otter
Owl,https://animaljam.fandom.com/wiki/Owl
Panda,https://animaljam.fandom.com/wiki/Panda
Category:Patterned Animals,https://animaljam.fandom.com/wiki/Category:Patterned_Animals
Penguin,https://animaljam.fandom.com/wiki/Penguin
Pig,https://animaljam.fandom.com/wiki/Pig
Polar Arctic Fox,https://animaljam.fandom.com/wiki/Polar_Arctic_Fox
Polar Bear,https://animaljam.fandom.com/wiki/Polar_Bear
Raccoon,https://animaljam.fandom.com/wiki/Raccoon
Rainbow Raccoon,https://animaljam.fandom.com/wiki/Rainbow_Raccoon
Red Panda,https://animaljam.fandom.com/wiki/Red_Panda
Rhino,https://animaljam.fandom.com/wiki/Rhino
Royal Red Panda,https://animaljam.fandom.com/wiki/Royal_Red_Panda
Sabertooth,https://animaljam.fandom.com/wiki/Sabertooth
Sea Turtle,https://animaljam.fandom.com/wiki/Sea_Turtle
Seal,https://animaljam.fandom.com/wiki/Seal
Shark,https://animaljam.fandom.com/wiki/Shark
Sheep,https://animaljam.fandom.com/wiki/Sheep
Skunk,https://animaljam.fandom.com/wiki/Skunk
Sloth,https://animaljam.fandom.com/wiki/Sloth
Snow Leopard,https://animaljam.fandom.com/wiki/Snow_Leopard
Snowflake Arctic Wolf,https://animaljam.fandom.com/wiki/Snowflake_Arctic_Wolf
Spooky Snow Leopard,https://animaljam.fandom.com/wiki/Spooky_Snow_Leopard
Spring Bunny,https://animaljam.fandom.com/wiki/Spring_Bunny
Category:Summer Sale,https://animaljam.fandom.com/wiki/Category:Summer_Sale
Tiger,https://animaljam.fandom.com/wiki/Tiger
Toucan,https://animaljam.fandom.com/wiki/Toucan
Wolf,https://animaljam.fandom.com/wiki/Wolf
